Metric,Value
design__instance__count,4347
design__instance__area,26130.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,148
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0006678822101093829
power__switching__total,0.00040219604852609336
power__leakage__total,2.4347505345190257E-8
power__total,0.0010701025603339076
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.28022515656643093
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.47098892785648455
timing__hold__ws__corner:nom_tt_025C_1v80,0.33447145999549915
timing__setup__ws__corner:nom_tt_025C_1v80,14.925675340358307
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.334471
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,148
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.29561329221215166
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.640946092120314
timing__hold__ws__corner:nom_ss_100C_1v60,0.9246090821353009
timing__setup__ws__corner:nom_ss_100C_1v60,9.587928944392146
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.924609
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,148
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2721700997169042
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.399426086844534
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11185441778293119
timing__setup__ws__corner:nom_ff_n40C_1v95,16.896646338112436
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111854
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,148
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27006111999968024
clock__skew__worst_setup,0.39561188777998574
timing__hold__ws,0.1093303256650597
timing__setup__ws,9.478125219615999
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109330
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 200.0 200.0
design__core__bbox,5.52 10.88 194.12 187.68
design__io,138
design__die__area,40000
design__core__area,33344.5
design__instance__count__stdcell,4347
design__instance__area__stdcell,26130.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.78364
design__instance__utilization__stdcell,0.78364
design__instance__count__class:inverter,32
design__instance__count__class:sequential_cell,233
design__instance__count__class:multi_input_combinational_cell,1638
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1452
design__instance__count__class:tap_cell,469
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,148
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.3021279700825973
